TEAM_ABBREVIATION,PLAYER_NAME,GP,AST,POTENTIAL_AST,AST_CONVERSION_RATE,TOTAL_pAST
ATL,Trae Young,76,11.6,20.7,0.56,1573.2
DEN,Nikola Jokić,70,10.2,16.5,0.618,1155.0
IND,Tyrese Haliburton,73,9.2,15.8,0.582,1153.4
DET,Cade Cunningham,70,9.1,15.4,0.591,1078.0
LAL,LeBron James,70,8.2,14.8,0.554,1036.0
LAC,James Harden,79,8.7,13.7,0.635,1082.3
LAL,Luka Dončić,50,7.7,13.4,0.575,670.0
PHX,Devin Booker,75,7.1,13.3,0.534,997.5
MIL,Damian Lillard,58,7.1,13.0,0.546,754.0
CHA,LaMelo Ball,47,7.4,12.9,0.574,606.3000000000001
NOP,Elfrid Payton,24,6.9,12.7,0.543,304.79999999999995
SAS,Chris Paul,82,7.4,12.6,0.587,1033.2
NYK,Jalen Brunson,65,7.3,12.5,0.584,812.5
MEM,Ja Morant,50,7.3,12.5,0.584,625.0
NOP,Dejounte Murray,31,7.4,12.1,0.612,375.09999999999997
OKC,Shai Gilgeous-Alexander,76,6.4,12.1,0.529,919.6
SAS,De'Aaron Fox,62,6.3,11.9,0.529,737.8000000000001
CHI,Josh Giddey,70,7.2,11.8,0.61,826.0
BOS,Jayson Tatum,72,6.0,11.6,0.517,835.1999999999999
UTA,Isaiah Collier,71,6.3,11.6,0.543,823.6
TOR,Scottie Barnes,65,5.8,11.2,0.518,728.0
CLE,Darius Garland,75,6.7,11.1,0.604,832.5
GSW,Jimmy Butler III,55,5.4,11.0,0.491,605.0
MIL,Giannis Antetokounmpo,67,6.5,11.0,0.591,737.0
HOU,Fred VanVleet,60,5.6,10.9,0.514,654.0
GSW,Draymond Green,68,5.6,10.8,0.519,734.4000000000001
LAL,Austin Reaves,73,5.8,10.7,0.542,781.0999999999999
NOP,Zion Williamson,30,5.3,10.6,0.5,318.0
PHI,Tyrese Maxey,52,6.1,10.6,0.575,551.1999999999999
TOR,Immanuel Quickley,33,5.8,10.5,0.552,346.5
DET,Dennis Schröder,75,5.4,10.3,0.524,772.5
UTA,Keyonte George,67,5.6,10.3,0.544,690.1
GSW,Stephen Curry,70,6.0,10.3,0.583,721.0
DEN,Russell Westbrook,75,6.1,10.3,0.592,772.5
MIA,Tyler Herro,77,5.5,10.2,0.539,785.4
DEN,Jamal Murray,67,6.0,10.1,0.594,676.6999999999999
SAC,Malik Monk,65,5.6,10.0,0.56,650.0
NYK,Josh Hart,77,5.9,9.9,0.596,762.3000000000001
BKN,D'Angelo Russell,58,5.1,9.7,0.526,562.5999999999999
ATL,Jalen Johnson,36,5.0,9.6,0.521,345.59999999999997
LAC,Ben Simmons,51,5.6,9.5,0.589,484.5
POR,Scoot Henderson,66,5.1,9.5,0.537,627.0
SAC,Domantas Sabonis,70,6.0,9.5,0.632,665.0
ORL,Paolo Banchero,46,4.8,9.4,0.511,432.40000000000003
OKC,Jalen Williams,69,5.1,9.4,0.543,648.6
ORL,Franz Wagner,60,4.7,9.3,0.505,558.0
WAS,Jordan Poole,68,4.5,9.2,0.489,625.5999999999999
MIA,Davion Mitchell,74,4.9,9.2,0.533,680.8
CLE,Donovan Mitchell,71,5.0,9.2,0.543,653.1999999999999
ORL,Desmond Bane,69,5.3,9.2,0.576,634.8
TOR,RJ Barrett,58,5.4,9.1,0.593,527.8
HOU,Alperen Sengun,76,4.9,9.1,0.538,691.6
IND,Andrew Nembhard,65,5.0,8.8,0.568,572.0
CHI,Coby White,74,4.5,8.8,0.511,651.2
PHX,Tyus Jones,81,5.3,8.7,0.609,704.6999999999999
POR,Anfernee Simons,70,4.8,8.7,0.552,609.0
ATL,Dyson Daniels,76,4.4,8.6,0.512,653.6
MIN,Anthony Edwards,79,4.5,8.4,0.536,663.6
DAL,Kyrie Irving,50,4.6,8.4,0.548,420.0
UTA,Collin Sexton,63,4.2,8.4,0.5,529.2
BOS,Jaylen Brown,63,4.5,8.3,0.542,522.9000000000001
MIN,Julius Randle,69,4.7,8.3,0.566,572.7
POR,Deni Avdija,72,3.9,8.3,0.47,597.6
ORL,Jalen Suggs,35,3.7,8.2,0.451,287.0
WAS,Bub Carrington,82,4.4,8.2,0.537,672.4
TOR,Jamal Shead,75,4.2,8.1,0.519,607.5
BOS,Derrick White,76,4.8,8.0,0.6,608.0
NOP,Jose Alvarado,56,4.6,7.9,0.582,442.40000000000003
CHI,Ayo Dosunmu,46,4.5,7.9,0.57,363.40000000000003
IND,T.J. McConnell,79,4.4,7.9,0.557,624.1
MEM,Scotty Pippen Jr.,79,4.4,7.9,0.557,624.1
DET,Jaden Ivey,30,4.0,7.8,0.513,234.0
SAS,Stephon Castle,81,4.1,7.8,0.526,631.8
SAC,DeMar DeRozan,77,4.4,7.8,0.564,600.6
SAC,Zach LaVine,74,4.2,7.8,0.538,577.1999999999999
PHI,Paul George,41,4.3,7.7,0.558,315.7
CHI,Tre Jones,46,4.2,7.7,0.545,354.2
PHX,Kevin Durant,62,4.2,7.6,0.553,471.2
WAS,Khris Middleton,37,4.1,7.5,0.547,277.5
BOS,Jrue Holiday,62,3.9,7.4,0.527,458.8
HOU,Amen Thompson,69,3.8,7.3,0.521,503.7
CHA,Miles Bridges,64,3.9,7.3,0.534,467.2
UTA,Jordan Clarkson,37,3.7,7.3,0.507,270.09999999999997
PHX,Bradley Beal,53,3.7,7.0,0.529,371.0
DAL,Spencer Dinwiddie,79,4.4,7.0,0.629,553.0
MIA,Bam Adebayo,78,4.3,6.9,0.623,538.2
GSW,Brandin Podziemski,64,3.4,6.9,0.493,441.6
NOP,CJ McCollum,56,4.1,6.8,0.603,380.8
MIN,Mike Conley,71,4.5,6.7,0.672,475.7
BOS,Payton Pritchard,80,3.5,6.7,0.522,536.0
HOU,Jalen Green,82,3.4,6.7,0.507,549.4
PHX,Vasilije Micic,41,3.1,6.6,0.47,270.59999999999997
SAS,Victor Wembanyama,46,3.7,6.6,0.561,303.59999999999997
WAS,Bilal Coulibaly,59,3.4,6.5,0.523,383.5
CLE,Ty Jerome,70,3.4,6.5,0.523,455.0
PHI,Jared Butler,60,3.7,6.4,0.578,384.0
BKN,Cameron Johnson,57,3.4,6.4,0.531,364.8
ORL,Anthony Black,78,3.1,6.3,0.492,491.4
NOP,Trey Murphy III,53,3.5,6.1,0.574,323.29999999999995
WAS,Marcus Smart,34,3.2,6.0,0.533,204.0
NYK,Mikal Bridges,82,3.7,6.0,0.617,492.0
CHI,Nikola Vučević,73,3.5,6.0,0.583,438.0
MEM,Cole Anthony,67,2.9,5.9,0.492,395.3
CHI,Lonzo Ball,35,3.3,5.9,0.559,206.5
ATL,Caris LeVert,64,3.4,5.9,0.576,377.6
BKN,Trendon Watford,44,2.6,5.8,0.448,255.2
CHA,KJ Simpson,36,3.1,5.8,0.534,208.79999999999998
MIL,Kevin Porter Jr.,75,3.4,5.7,0.596,427.5
DEN,Aaron Gordon,51,3.2,5.7,0.561,290.7
MIN,Donte DiVincenzo,62,3.6,5.6,0.643,347.2
CLE,Evan Mobley,71,3.2,5.6,0.571,397.59999999999997
SAS,Devin Vassell,64,2.9,5.5,0.527,352.0
OKC,Isaiah Hartenstein,57,3.8,5.4,0.704,307.8
MEM,Luke Kennard,65,3.3,5.4,0.611,351.0
IND,Pascal Siakam,78,3.4,5.4,0.63,421.20000000000005
LAC,Bogdan Bogdanović,54,2.7,5.2,0.519,280.8
MIA,Andrew Wiggins,60,2.6,5.2,0.5,312.0
DAL,Anthony Davis,51,3.5,5.2,0.673,265.2
